open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time.2,open_time
2019-04-15 00:00:00+00:00,69.6,70.28,65.4,67.45,6269.86479,1555372799999,427509.4732451,2323,2448.62569,167092.0003322,0,,,
2019-04-16 00:00:00+00:00,67.42,69.48,66.76,68.98,4636.8703,1555459199999,314649.5576397,1564,1479.69074,100547.6067965,0,,,
2019-04-17 00:00:00+00:00,68.98,71.47,67.45,70.09,5366.13533,1555545599999,371547.9068678,2017,2681.76578,186073.4293523,0,,,
2019-04-18 00:00:00+00:00,70.25,71.75,69.6,70.26,7158.85162,1555631999999,506410.1621576,2400,3620.21757,255931.7105031,0,,,
2019-04-19 00:00:00+00:00,70.26,70.28,68.8,69.23,3597.43307,1555718399999,250539.3663256,1470,1685.39629,117572.5601679,0,,,
2019-04-20 00:00:00+00:00,69.4,69.98,68.34,69.35,3127.81037,1555804799999,216781.8054598,1011,1466.826,101757.8780246,0,,,
2019-04-21 00:00:00+00:00,69.5,69.6,66.09,67.91,4550.43867,1555891199999,307446.3582129,1571,1937.44337,130985.4657574,0,,,
2019-04-22 00:00:00+00:00,68.11,70.17,65.92,68.76,5441.6022,1555977599999,371791.0102147,2063,2439.02419,166285.3169612,0,,,
2019-04-23 00:00:00+00:00,68.95,70.97,66.45,66.45,6335.42537,1556063999999,437343.3573284,2271,3414.78009,236339.3791515,0,,,
2019-04-24 00:00:00+00:00,66.64,67.09,61.87,65.26,8735.95642,1556150399999,561888.7267808,2483,3381.37143,217678.065464,0,,,
2019-04-25 00:00:00+00:00,65.18,66.19,60.31,61.89,5757.95567,1556236799999,365016.1975652,1902,2553.00718,162644.3165053,0,,,
2019-04-26 00:00:00+00:00,61.93,64.72,59.17,61.88,12366.6649,1556323199999,760447.3990178,2798,4326.94478,265277.7965759,0,,,
2019-04-27 00:00:00+00:00,62.01,62.75,60.19,61.55,5146.66358,1556409599999,314281.5708913,1314,1769.52818,108734.9387372,0,,,
2019-04-28 00:00:00+00:00,61.56,62.57,60.36,60.6,2733.98514,1556495999999,167934.728667,851,986.00433,60664.3022176,0,,,
