open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time
2021-09-01 00:00:00+00:00,182.0,188.8,178.9,187.5,36489.801,1630540799999,6700451.8492,17760,17542.477,3222772.5359,0,,
2021-09-02 00:00:00+00:00,187.7,195.0,183.0,186.6,26966.704,1630627199999,5095215.1739,19452,12894.769,2441466.314,0,,
2021-09-03 00:00:00+00:00,186.3,190.0,181.4,187.5,34097.699,1630713599999,6348554.2729,19463,14872.586,2770303.3446,0,,
2021-09-04 00:00:00+00:00,187.4,226.5,186.3,223.2,109213.273,1630799999999,22906509.6119,66890,59713.221,12553790.985,0,,
2021-09-05 00:00:00+00:00,223.5,331.8,220.0,319.2,509120.977,1630886399999,141529807.5184,354179,276919.2,77064372.007,0,,
2021-09-06 00:00:00+00:00,319.2,386.3,302.1,326.1,609151.822,1630972799999,207632773.0696,508675,308100.915,105274093.5754,0,,
2021-09-07 00:00:00+00:00,325.9,360.0,279.1,355.0,261355.957,1631059199999,84304421.5042,213016,132769.709,42951704.6969,0,,
2021-09-08 00:00:00+00:00,355.1,358.0,287.4,310.8,216149.562,1631145599999,69187178.6327,176022,98384.766,31551615.7411,0,,
2021-09-09 00:00:00+00:00,310.8,335.0,293.2,313.6,159823.439,1631231999999,49851424.4412,118239,75462.482,23615718.8656,0,,
2021-09-10 00:00:00+00:00,313.5,409.0,309.7,394.9,343063.041,1631318399999,121928608.0728,265496,181508.748,64785977.0726,0,,
2021-09-11 00:00:00+00:00,395.4,430.0,360.5,384.6,300070.652,1631404799999,117323646.4978,240776,153486.337,60255700.9005,0,,
2021-09-12 00:00:00+00:00,385.3,400.0,355.0,357.3,98002.802,1631491199999,36331228.2757,88942,45940.709,17077816.7892,0,,
2021-09-13 00:00:00+00:00,357.4,384.7,322.3,382.9,111863.739,1631577599999,38794523.2726,106306,56254.331,19567636.6738,0,,
2021-09-14 00:00:00+00:00,382.8,418.2,354.7,374.2,171455.492,1631663999999,65470091.5656,165509,84594.03,32377499.7823,0,,
2021-09-15 00:00:00+00:00,373.6,379.1,353.4,366.6,64159.273,1631750399999,23403179.8826,57281,30747.123,11243678.8097,0,,
2021-09-16 00:00:00+00:00,367.1,377.0,351.4,367.3,65126.61,1631836799999,23689586.4274,54895,30953.264,11282255.3133,0,,
2021-09-17 00:00:00+00:00,367.6,369.6,338.9,346.0,56917.404,1631923199999,20176773.7803,48747,26040.837,9239851.2683,0,,
2021-09-18 00:00:00+00:00,346.0,377.7,343.2,362.4,48831.604,1632009599999,17644442.9453,44817,24669.258,8916427.6678,0,,
2021-09-19 00:00:00+00:00,362.8,365.9,342.5,347.0,39981.885,1632095999999,14085306.424,30908,19048.32,6715610.0486,0,,
2021-09-20 00:00:00+00:00,347.4,348.1,265.0,291.1,209848.21,1632182399999,63407381.1401,145640,103024.524,31147089.4679,0,,
2021-09-21 00:00:00+00:00,291.2,323.9,255.1,265.1,157248.494,1632268799999,45492783.9049,105001,76147.145,22129225.92,0,,
2021-09-22 00:00:00+00:00,265.1,317.0,259.8,312.1,103765.481,1632355199999,30373489.8953,72597,53877.12,15801901.6645,0,,
2021-09-23 00:00:00+00:00,312.1,350.0,304.2,336.3,85159.205,1632441599999,27839648.1308,65785,43672.103,14310336.3816,0,,
2021-09-24 00:00:00+00:00,336.2,338.5,284.0,316.9,105169.94,1632527999999,32903843.1975,80576,49631.594,15574792.6991,0,,
2021-09-25 00:00:00+00:00,316.8,317.1,292.5,301.0,31312.235,1632614399999,9539173.9357,28739,14965.952,4565854.9602,0,,
2021-09-26 00:00:00+00:00,300.9,307.2,279.6,294.0,51565.988,1632700799999,15194470.1137,39521,23133.622,6824452.6233,0,,
2021-09-27 00:00:00+00:00,294.0,329.5,291.0,294.2,54894.426,1632787199999,16980915.7197,43798,27298.903,8472765.6729,0,,
2021-09-28 00:00:00+00:00,294.5,303.8,275.7,277.2,37617.636,1632873599999,10872116.3279,30973,16072.7,4670122.3155,0,,
2021-09-29 00:00:00+00:00,276.9,294.0,267.2,271.5,42924.663,1632959999999,11986571.6788,34101,19510.565,5464309.8243,0,,
2021-09-30 00:00:00+00:00,271.5,293.9,271.3,290.2,39794.33,1633046399999,11376220.012,33100,21186.195,6062967.5854,0,,
2021-10-01 00:00:00+00:00,290.0,313.8,281.5,310.9,55858.196,1633132799999,16777266.4931,41422,28801.708,8660879.1009,0,,
2021-10-02 00:00:00+00:00,310.6,344.6,302.0,317.6,48508.466,1633219199999,15538870.8814,45937,25144.258,8073609.2017,0,,
2021-10-03 00:00:00+00:00,317.3,330.9,313.7,316.6,30791.343,1633305599999,9915858.9457,29556,15713.59,5063670.3683,0,,
2021-10-04 00:00:00+00:00,316.7,317.2,289.2,305.5,54099.953,1633391999999,16464923.3929,36882,23868.331,7263245.9935,0,,
2021-10-05 00:00:00+00:00,305.5,315.8,297.9,303.9,35141.817,1633478399999,10717018.2751,28335,17739.769,5417035.1463,0,,
2021-10-06 00:00:00+00:00,304.0,308.9,288.1,291.5,39182.386,1633564799999,11664655.1282,30832,18846.374,5616077.3189,0,,
2021-10-07 00:00:00+00:00,290.9,301.9,285.1,288.4,32078.278,1633651199999,9398242.6287,27765,15739.767,4620723.4618,0,,
2021-10-08 00:00:00+00:00,288.4,330.1,287.5,311.3,56875.413,1633737599999,17660757.3469,55856,29260.838,9108074.1806,0,,
2021-10-09 00:00:00+00:00,310.9,315.9,295.7,299.1,33797.031,1633823999999,10251620.2247,31819,16271.97,4943871.5097,0,,
2021-10-10 00:00:00+00:00,299.2,308.0,290.8,294.0,27175.817,1633910399999,8143796.6333,25304,12521.319,3762846.165,0,,
2021-10-11 00:00:00+00:00,294.6,301.4,284.6,288.5,30586.769,1633996799999,8957332.8678,26501,14730.71,4322663.5954,0,,
2021-10-12 00:00:00+00:00,288.6,288.7,264.2,281.2,45846.337,1634083199999,12642323.5612,38433,21719.67,5989821.928,0,,
2021-10-13 00:00:00+00:00,281.2,287.8,268.9,281.8,28410.899,1634169599999,7912149.2388,26956,14863.438,4147072.2817,0,,
2021-10-14 00:00:00+00:00,281.7,299.9,272.9,290.3,35126.329,1634255999999,10129689.0577,33763,18093.071,5230615.7012,0,,
2021-10-15 00:00:00+00:00,290.6,298.5,274.2,289.5,40193.904,1634342399999,11476520.9171,38240,19370.886,5545116.3555,0,,
2021-10-16 00:00:00+00:00,289.7,329.6,285.1,308.2,54879.587,1634428799999,16677029.9285,53088,28572.936,8701120.9708,0,,
2021-10-17 00:00:00+00:00,308.4,322.9,291.1,300.8,52803.52,1634515199999,16307232.2442,52256,26657.987,8256137.9114,0,,
2021-10-18 00:00:00+00:00,300.8,306.6,288.9,290.2,25170.32,1634601599999,7448872.8771,23592,11979.702,3552782.8537,0,,
2021-10-19 00:00:00+00:00,290.1,294.7,280.1,285.0,26823.866,1634687999999,7703372.4463,22336,12066.871,3469392.9728,0,,
2021-10-20 00:00:00+00:00,285.4,303.1,279.0,295.4,43135.052,1634774399999,12541856.0033,32081,19855.067,5775564.5574,0,,
2021-10-21 00:00:00+00:00,295.0,296.5,284.6,286.9,36734.442,1634860799999,10658678.5273,29322,17618.02,5115135.4339,0,,
2021-10-22 00:00:00+00:00,286.8,292.9,280.4,287.5,29954.6,1634947199999,8604040.6545,22504,13414.576,3855214.6391,0,,
2021-10-23 00:00:00+00:00,287.6,304.5,285.8,296.7,27822.414,1635033599999,8174458.6618,23173,15978.321,4696336.1308,0,,
2021-10-24 00:00:00+00:00,297.0,307.0,286.0,290.6,32790.031,1635119999999,9691586.2649,29224,14113.113,4179934.2769,0,,
2021-10-25 00:00:00+00:00,290.2,322.8,290.0,312.3,63686.335,1635206399999,19415202.4651,52351,32071.118,9791862.8239,0,,
2021-10-26 00:00:00+00:00,312.5,326.0,306.7,315.5,50351.552,1635292799999,15888293.942,43921,25612.124,8085901.5698,0,,
2021-10-27 00:00:00+00:00,315.9,316.3,279.3,282.3,48179.648,1635379199999,14138707.1741,39692,19200.311,5641421.75,0,,
2021-10-28 00:00:00+00:00,282.3,295.0,279.7,291.0,35997.445,1635465599999,10340114.4858,29638,18022.947,5184855.4392,0,,
2021-10-29 00:00:00+00:00,290.9,295.5,280.5,288.7,31663.034,1635551999999,9095880.5344,22878,14602.15,4199527.1805,0,,
2021-10-30 00:00:00+00:00,288.7,292.9,275.7,279.5,27977.505,1635638399999,7973114.7888,25010,12582.701,3592380.3472,0,,
2021-10-31 00:00:00+00:00,279.5,284.0,270.4,283.6,31586.83,1635724799999,8739676.1518,27340,15290.264,4236173.2669,0,,
2021-11-01 00:00:00+00:00,283.2,284.0,272.0,274.0,30370.422,1635811199999,8408803.2805,23733,14367.26,3982279.2609,0,,
2021-11-02 00:00:00+00:00,274.2,281.5,269.4,278.6,43447.833,1635897599999,11909265.7738,31306,21721.181,5962878.4217,0,,
