open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time.2,open_time
2019-11-28 00:00:00+00:00,220.08,224.6,212.02,217.41,11556.80086,1574985599999,2530899.68916,6274,5997.10206,1313789.1944929,0,,,
2019-11-29 00:00:00+00:00,217.4,226.49,216.9,224.0,50234.55027,1575071999999,11222828.2936979,23621,26343.41527,5881106.2182666,0,,,
2019-11-30 00:00:00+00:00,223.89,224.67,214.41,217.45,47622.18011,1575158399999,10490318.8361089,18794,23988.28449,5290884.4458015,0,,,
2019-12-01 00:00:00+00:00,217.43,218.18,209.24,214.36,46721.57914,1575244799999,9973168.0498748,24501,23680.26481,5059706.1301251,0,,,
2019-12-02 00:00:00+00:00,214.37,216.25,209.68,213.67,43397.32559,1575331199999,9250970.9345502,19593,21483.00834,4581775.3662296,0,,,
2019-12-03 00:00:00+00:00,213.72,215.95,210.99,211.5,28430.46455,1575417599999,6066320.7000478,13295,14064.08334,3001910.4581469,0,,,
2019-12-04 00:00:00+00:00,211.47,219.68,202.5,207.47,93351.89396,1575503999999,19572146.7800238,38729,43947.18205,9219472.845733,0,,,
2019-12-05 00:00:00+00:00,207.36,214.46,200.88,211.5,58415.66785,1575590399999,12250900.2046183,23102,28227.06323,5927188.1936388,0,,,
2019-12-06 00:00:00+00:00,211.6,214.0,209.2,212.84,36081.71398,1575676799999,7635950.9300331,16105,18172.70035,3846802.6065608,0,,,
2019-12-07 00:00:00+00:00,212.9,216.62,210.01,211.0,26962.16937,1575763199999,5746370.3154666,11321,13481.37084,2872962.5841007,0,,,
2019-12-08 00:00:00+00:00,210.97,214.89,208.0,212.58,23530.67976,1575849599999,4971614.7813878,10618,11020.49173,2329707.9038811,0,,,
2019-12-09 00:00:00+00:00,212.42,215.08,205.4,208.27,36474.63924,1575935999999,7690860.1222739,16896,16063.86857,3390881.985596,0,,,
2019-12-10 00:00:00+00:00,208.18,209.35,203.71,206.54,27927.89853,1576022399999,5779008.5202788,13053,12924.4709,2675191.5633275,0,,,
2019-12-11 00:00:00+00:00,206.63,207.99,204.05,207.01,15264.51196,1576108799999,3149193.3312386,7791,6763.06859,1395012.897475,0,,,
2019-12-12 00:00:00+00:00,207.1,207.97,203.67,206.79,26540.59504,1576195199999,5463102.0369853,12548,13170.59753,2711616.2522314,0,,,
2019-12-13 00:00:00+00:00,206.62,212.71,206.25,211.32,33534.36619,1576281599999,7015487.04537,19871,15781.61779,3303584.5499326,0,,,
2019-12-14 00:00:00+00:00,211.44,213.11,204.67,205.82,34067.96904,1576367999999,7112457.1944317,17754,16629.28775,3474907.9386269,0,,,
2019-12-15 00:00:00+00:00,205.87,211.72,204.88,206.88,37076.8692,1576454399999,7694355.5642057,17971,18386.82608,3815098.4487562,0,,,
2019-12-16 00:00:00+00:00,206.87,208.67,193.85,196.27,82405.61891,1576540799999,16478839.2806569,40213,38734.36438,7746488.2731105,0,,,
2019-12-17 00:00:00+00:00,196.26,196.96,172.1,176.45,127025.58764,1576627199999,23345354.3415362,56991,59794.26527,10988861.1739675,0,,,
2019-12-18 00:00:00+00:00,176.45,191.75,169.66,189.0,144833.0183,1576713599999,25986405.1707104,76448,75850.26465,13615409.2890939,0,,,
2019-12-19 00:00:00+00:00,188.9,191.0,183.49,185.96,54337.20347,1576799999999,10148526.0259586,30108,27717.66898,5174818.9952816,0,,,
2019-12-20 00:00:00+00:00,186.07,190.72,183.82,187.44,43236.75189,1576886399999,8094064.0457129,31219,21539.84305,4028443.1042276,0,,,
2019-12-21 00:00:00+00:00,187.39,188.43,185.33,186.21,19488.47281,1576972799999,3636819.9778983,14615,8531.41908,1592444.8840437,0,,,
2019-12-22 00:00:00+00:00,186.21,197.4,185.73,196.27,54636.39805,1577059199999,10424136.4467414,33176,28438.86926,5422994.856359,0,,,
2019-12-23 00:00:00+00:00,196.28,198.0,188.2,189.61,57146.5522,1577145599999,11116931.2779339,33910,28761.59415,5598831.2852844,0,,,
2019-12-24 00:00:00+00:00,189.66,191.68,185.0,188.3,50765.49176,1577231999999,9589235.4622696,31926,25717.85082,4863708.6644637,0,,,
2019-12-25 00:00:00+00:00,188.31,188.78,182.69,185.34,31724.59117,1577318399999,5893381.4990916,20246,14736.30446,2737616.982226,0,,,
2019-12-26 00:00:00+00:00,185.34,194.99,184.01,187.79,48012.30969,1577404799999,9082429.7598178,32093,23121.59259,4377959.8578672,0,,,
2019-12-27 00:00:00+00:00,187.7,203.92,186.83,203.21,120980.63718,1577491199999,23726165.9545951,69928,61331.2515,12019679.5814978,0,,,
2019-12-28 00:00:00+00:00,203.33,210.0,202.53,206.27,81593.20921,1577577599999,16871566.2495375,52994,39803.44374,8230633.1679293,0,,,
2019-12-29 00:00:00+00:00,206.26,215.94,204.34,212.34,80763.47218,1577663999999,16985762.5516026,54773,41374.95501,8699423.1857318,0,,,
2019-12-30 00:00:00+00:00,212.29,215.0,205.65,208.62,76221.01161,1577750399999,16030753.4949027,47461,37672.11938,7922750.0261081,0,,,
2019-12-31 00:00:00+00:00,208.61,214.11,201.73,204.52,89320.43252,1577836799999,18571184.1976403,54872,46607.60432,9689227.1499181,0,,,
2020-01-01 00:00:00+00:00,204.57,209.0,203.1,204.44,43234.9585,1577923199999,8914580.4494128,32837,22109.25718,4559982.6906134,0,,,
2020-01-02 00:00:00+00:00,204.43,205.53,192.8,195.49,76481.1405,1578009599999,15250316.7933154,57340,39232.52597,7824769.4709129,0,,,
2020-01-03 00:00:00+00:00,195.49,226.0,191.9,222.43,236151.17473,1578095999999,50167864.8448902,130693,115532.39483,24552715.4759052,0,,,
2020-01-04 00:00:00+00:00,222.38,227.64,219.56,224.47,110315.64423,1578182399999,24606733.7093367,72555,55801.11877,12441776.8249456,0,,,
2020-01-05 00:00:00+00:00,224.45,227.63,220.6,222.79,90338.28418,1578268799999,20252110.0654417,57596,46864.83393,10508940.3204361,0,,,
2020-01-06 00:00:00+00:00,222.82,247.0,222.2,244.25,177504.59026,1578355199999,41864004.9871681,95696,89500.57403,21125201.5333653,0,,,
2020-01-07 00:00:00+00:00,244.26,246.9,232.0,242.3,180860.80127,1578441599999,43584856.4420749,102231,90120.91166,21723624.5816137,0,,,
2020-01-08 00:00:00+00:00,242.48,255.19,229.59,240.19,238290.07035,1578527999999,57593772.5678099,135746,122014.12174,29514020.1116843,0,,,
2020-01-09 00:00:00+00:00,240.13,243.89,231.26,238.01,109003.33057,1578614399999,25831452.2199653,74785,53429.63944,12661878.6086431,0,,,
2020-01-10 00:00:00+00:00,238.06,275.0,231.13,271.83,311448.58074,1578700799999,78716114.1608717,169498,156393.31039,39548091.299318,0,,,
2020-01-11 00:00:00+00:00,271.95,279.49,258.68,260.83,199691.49268,1578787199999,53671209.6631159,109112,100889.13795,27115680.6059665,0,,,
2020-01-12 00:00:00+00:00,260.69,271.39,257.85,270.77,105180.61526,1578873599999,27893928.2285227,69836,53332.79122,14144158.353508,0,,,
2020-01-13 00:00:00+00:00,270.85,272.99,261.06,267.21,91495.50923,1578959999999,24292551.4340849,55038,42456.08313,11273227.1997206,0,,,
2020-01-14 00:00:00+00:00,267.24,368.08,267.14,348.35,827847.55896,1579046399999,264096424.2119308,433629,423816.2542,135312871.1612018,0,,,
