open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,open_time.1,open_time.2,open_time
2025-01-19 00:00:00+00:00,27.25,77.24,27.25,46.5,148508697.117,1737331199999,8849748911.88167,12940382,73668860.92,4429248939.88853,0,,,
2025-01-20 00:00:00+00:00,46.49,63.99,34.5,36.5,126104631.604,1737417599999,6097324026.81726,15125808,62159229.258,3017746786.22521,0,,,
2025-01-21 00:00:00+00:00,36.51,48.33,30.4,43.76,102564331.531,1737503999999,3982573409.9676895,10192681,51672456.834,2012178149.6492,0,,,
2025-01-22 00:00:00+00:00,43.76,44.55,36.1,36.86,36515809.959,1737590399999,1486700985.91617,3887302,18154961.005,740168291.0006899,0,,,
2025-01-23 00:00:00+00:00,36.86,39.84,34.0,34.69,42405473.229,1737676799999,1559087347.84969,3437224,21468009.986,791180416.33838,0,,,
2025-01-24 00:00:00+00:00,34.68,35.46,29.1,30.18,28847940.76,1737763199999,951658773.49055,2334293,13621389.861,450001381.35894,0,,,
2025-01-25 00:00:00+00:00,30.19,30.6,25.71,28.89,43259068.889,1737849599999,1221093824.87148,2882649,20844973.529,589850387.06293,0,,,
2025-01-26 00:00:00+00:00,28.89,32.3,27.07,27.38,29203595.477,1737935999999,873107837.35814,2144593,14157993.369,424195072.63127,0,,,
2025-01-27 00:00:00+00:00,27.39,28.25,24.58,28.0,30180658.994,1738022399999,802999628.38225,2345035,14562270.966,388045756.02621,0,,,
2025-01-28 00:00:00+00:00,28.01,30.47,26.27,27.34,27125442.9,1738108799999,786839143.2135,2256017,13551110.859,393342734.66245,0,,,
2025-01-29 00:00:00+00:00,27.35,28.7,26.26,27.25,20179800.755,1738195199999,555431174.72779,1477139,9973229.297,274702742.53435,0,,,
2025-01-30 00:00:00+00:00,27.25,28.3,25.77,26.06,17939658.96,1738281599999,489516300.65028,1078569,8831363.769,241157304.40722,0,,,
2025-01-31 00:00:00+00:00,26.06,26.64,23.62,24.14,17859827.809,1738367999999,455957836.3382,1131806,8379048.746,214231718.51392,0,,,
2025-02-01 00:00:00+00:00,24.14,25.03,18.56,19.7,36778747.525,1738454399999,797985209.32434,1868244,17374218.966,376821699.49192,0,,,
2025-02-02 00:00:00+00:00,19.71,22.65,19.38,21.01,45832143.992,1738540799999,950911283.00705,2780518,21531929.05,446856414.88921,0,,,
2025-02-03 00:00:00+00:00,21.01,21.25,16.0,19.66,64045316.754,1738627199999,1180612642.18469,3210549,31840850.743,587630758.82266,0,,,
2025-02-04 00:00:00+00:00,19.66,19.79,16.29,17.19,31757115.623,1738713599999,557111027.54347,1328955,15373789.842,269696023.72114,0,,,
2025-02-05 00:00:00+00:00,17.19,20.73,17.19,18.17,28279861.949,1738799999999,531202260.9586,1232658,14268485.606,268090030.28247,0,,,
2025-02-06 00:00:00+00:00,18.17,19.56,16.82,17.08,21930564.316,1738886399999,400593065.58016,1003180,10793020.481,197331219.65051,0,,,
2025-02-07 00:00:00+00:00,17.09,18.27,16.15,16.57,17348930.328,1738972799999,302181853.74118,784841,8318249.819,145158418.24602,0,,,
2025-02-08 00:00:00+00:00,16.57,17.48,16.2,17.25,10723993.869,1739059199999,181615808.95984,454003,5373722.606,91046468.47543,0,,,
2025-02-09 00:00:00+00:00,17.25,17.95,15.27,15.88,14878542.184,1739145599999,247817628.30495,575474,6882319.686,114724833.43686,0,,,
2025-02-10 00:00:00+00:00,15.88,16.56,14.27,15.91,18652059.836,1739231999999,292679752.68911,760698,8275458.941,129808895.47212,0,,,
2025-02-11 00:00:00+00:00,15.91,16.8,15.22,15.35,10961878.336,1739318399999,175261190.56216,563030,5361497.578,85871706.80192,0,,,
2025-02-12 00:00:00+00:00,15.35,15.58,14.46,15.45,12251961.322,1739404799999,185321774.77353,607676,6126315.904,92754903.05694,0,,,
2025-02-13 00:00:00+00:00,15.45,17.9,15.3,16.3,33073169.894,1739491199999,551871321.62401,1381597,16303556.62,272856603.24454,0,,,
